S.0;Linux
Algoritmo;Bubble Sort
Forma Datos;Aleatorio
Elementos;Tiempo
10000;0.197
20000;0.713
30000;1.517
40000;2.366
50000;3.493
60000;4.646
70000;6.075
80000;7.701
90000;9.501
100000;11.477
110000;13.66
120000;16.01
130000;18.691
140000;21.443
150000;24.299
160000;27.34
170000;30.571
180000;34.064
190000;37.664
200000;41.531
210000;45.493
220000;49.668
230000;54.029
240000;58.579
250000;63.197
260000;68.173
270000;73.227
280000;78.484
290000;83.931
300000;89.902
310000;95.124
320000;100.939
330000;107.205
340000;113.438
350000;119.808
360000;126.689
370000;133.461
380000;140.652
390000;147.736
400000;155.093
410000;162.561
420000;170.692
430000;178.373
440000;186.528
450000;194.857
460000;203.303
470000;211.799
480000;221.009
490000;229.913
500000;239.075
510000;248.839
520000;258.585
530000;268.093
540000;278.107
550000;288.001
560000;298.199
570000;308.559
580000;319.088
590000;329.878
600000;344.254
610000;355.618
620000;367.094
630000;376.813
640000;386.789
650000;400.021
660000;419.486
670000;427.442
680000;441.355
690000;452.814
700000;479.995
710000;479.411
720000;491.986
730000;507.68
740000;520.084
750000;530.069
760000;542.239
770000;557.243
780000;571.829
790000;586.329
800000;601.009
810000;615.702
820000;630.621
830000;646.439
840000;662.18
850000;683.08
860000;724.475
870000;770.547
880000;763.995
890000;793.222
900000;778.048
910000;833.491
920000;845.588
930000;857.62
940000;876.009
950000;893.609
960000;903.017
970000;951.578
980000;969.183
990000;1035.62
